Version5;
PCI\VEN_8086&DEV_2A43	FORCED\5x64\Express946_6.14.10.5016\	igxp64.inf	Intel.Mfg.NTamd64	1	12/12/2008,6.14.10.5016	Mobile Intel(R) 4 Series Express Chipset Family
PCI\VEN_8086&DEV_2A43	FORCED\5x86\Express965_6.14.10.5218\	igxp32.inf	Intel.Mfg	1	01/13/2010,6.14.10.5218	Mobile Intel(R) 4 Series Express Chipset Family
PCI\VEN_8086&DEV_2A43	FORCED\5x86\IEGD_10.3.1.1550\	iegd.inf	Intel.Mfg	0	03/01/2010,10.3.1.1550	Intel Corporation
PCI\VEN_8086&DEV_2A42	FORCED\5x64\Express40_6.14.10.5355\	igxp64.inf	Intel.Mfg.NTamd64	1	04/22/2011,6.14.10.5355	Mobile Intel(R) 4 Series Express Chipset Family
PCI\VEN_8086&DEV_2A42	FORCED\5x64\Express946_6.14.10.5016\	igxp64.inf	Intel.Mfg.NTamd64	1	12/12/2008,6.14.10.5016	Mobile Intel(R) 4 Series Express Chipset Family
PCI\VEN_8086&DEV_2A42	FORCED\5x86\Express946_6.14.10.5016\	igxp32.inf	Intel.Mfg	1	12/12/2008,6.14.10.5016	Mobile Intel(R) 4 Series Express Chipset Family
PCI\VEN_8086&DEV_2A42	FORCED\5x86\Express40_6.14.10.5420\	kit47725.inf	Intel.Mfg	1	07/23/2012,6.14.10.5420	Mobile Intel(R) 4 Series Express Chipset Family
PCI\VEN_8086&DEV_2A42	FORCED\5x86\ExpressHD_6.14.10.5417\	kit45888.inf	Intel.Mfg	1	06/15/2012,6.14.10.5417	Mobile Intel(R) 4 Series Express Chipset Family
PCI\VEN_8086&DEV_2A42	FORCED\5x86\Express965_6.14.10.5218\	igxp32.inf	Intel.Mfg	1	01/13/2010,6.14.10.5218	Mobile Intel(R) 4 Series Express Chipset Family
PCI\VEN_8086&DEV_2A42	FORCED\5x86\IEGD_10.3.1.1550\	iegd.inf	Intel.Mfg	0	03/01/2010,10.3.1.1550	Intel Corporation
PCI\VEN_8086&DEV_2A42	FORCED\5x64\Express965_6.14.10.5218\	igxp64.inf	Intel.Mfg.NTamd64	1	01/13/2010,6.14.10.5218	Mobile Intel(R) 4 Series Express Chipset Family
PCI\VEN_8086&DEV_0402	FORCED\5x64\Haswell_6.14.10.5445\	igxp64.inf	IntelGfx.NTamd64.5.1	0	09/29/2013,6.14.10.5445	Intel Haswell HD Graphics - GT1
PCI\VEN_8086&DEV_3577	FORCED\5x86\82830_6.14.10.3889\	ialmnt5.inf	Intel.Mfg	1	08/20/2004,6.14.10.3889	Intel(R) 82830M Graphics Controller
PCI\VEN_8086&DEV_0402	FORCED\5x86\Haswell_6.14.10.5445\	igxp32.inf	IntelGfx.NTx86.5.1	0	09/29/2013,6.14.10.5445	Intel Haswell HD Graphics - GT1
PCI\VEN_8086&DEV_0406	FORCED\5x64\Haswell_6.14.10.5445\	igxp64.inf	IntelGfx.NTamd64.5.1	0	09/29/2013,6.14.10.5445	Intel Haswell HD Graphics - GT1
PCI\VEN_8086&DEV_0406	FORCED\5x86\Haswell_6.14.10.5445\	igxp32.inf	IntelGfx.NTx86.5.1	0	09/29/2013,6.14.10.5445	Intel Haswell HD Graphics - GT1
DISPLAY\wADV08NT	FORCED\5x86\82810_6.13.01.3196\	wfp6.inf	Intel.Mfg	1	07/23/2002	Intel(r) AIM External Flat Panel Driver 6
PCI\VEN_8086&DEV_2782	FORCED\5x86\Express915_6.14.10.4764\	igxp32.inf	Intel.Mfg	1	01/13/2007,6.14.10.4764	Intel(R) 82915G/GV/910GL Express Chipset Family
PCI\VEN_8086&DEV_2782	FORCED\5x86\82830_6.14.10.3889\	ialmnt5.inf	Intel.Mfg	1	08/20/2004,6.14.10.3889	Intel(R) 82915G/GV/910GL Express Chipset Family
