Version5;
USB\VID_0bda&PID_58DC&MI_00	Realtek\Allx86\6.1.7600.144\	RtsUVC.inf	Realtek.NTx86.6	1	02/15/2012,6.1.7600.144	Realtek USB2.0 PC Camera
USB\VID_0bda&PID_58DC&MI_00	Realtek\Allx64\6.2.9200.10285_Lenovo\	RtsUVC.inf	Realtek.NTamd64.6	1	07/28/2014,6.2.9200.10285	Realtek USB2.0 PC Camera
USB\VID_0bda&PID_58DC&MI_00	Realtek\NTx64\6.2.9200.10296\	RtsUVC.inf	Realtek.NTamd64.6	1	01/13/2015,6.2.9200.10296	Realtek USB2.0 PC Camera
USB\VID_0bda&PID_58DC&MI_00	Realtek\Allx64\6.2.9200.10292_Lenovo\	RtsUVC.inf	Realtek.NTamd64.6	1	10/22/2014,6.2.9200.10292	Realtek USB2.0 PC Camera
USB\VID_0bda&PID_58DC&MI_00	Realtek\Allx86\6.2.9200.10277\	RtsUVC.inf	Realtek.NTx86.6	1	05/16/2014,6.2.9200.10277	Realtek USB2.0 PC Camera
USB\VID_0bda&PID_58DC&MI_00	Realtek\Allx86\6.2.9200.10292_Lenovo\	RtsUVC.inf	Realtek.NTx86.6	1	10/22/2014,6.2.9200.10292	Realtek USB2.0 PC Camera
USB\VID_0bda&PID_58DC&MI_00	Realtek\Allx64\6.1.7600.144\	RtsUVC.inf	Realtek.NTamd64.6	1	02/15/2012,6.1.7600.144	Realtek USB2.0 PC Camera
USB\VID_0bda&PID_58DC&MI_00	Realtek\Allx86\6.2.9200.10285_Lenovo\	RtsUVC.inf	Realtek.NTx86.6	1	07/28/2014,6.2.9200.10285	Realtek USB2.0 PC Camera
USB\VID_0bda&PID_58DC&MI_00	Realtek\Allx64\6.2.9200.10277\	RtsUVC.inf	Realtek.NTamd64.6	1	05/16/2014,6.2.9200.10277	Realtek USB2.0 PC Camera
USB\VID_0bda&PID_58DC&MI_00	Realtek\NTx86\6.2.9200.10296\	RtsUVC.inf	Realtek.NTx86.6	1	01/13/2015,6.2.9200.10296	Realtek USB2.0 PC Camera
USB\Vid_046d&Pid_09C0&MI_01	Logitech\Allx86\SCBY\	lvSCBYs.inf	Logitech	1	02/08/2007,10.5.1.1124	QuickCam for Dell Notebooks Mic
USB\Vid_046d&Pid_09C0&MI_01	Logitech\Allx86\PRO4\	lvPRO4s.inf	Logitech.NT.6.0	1	07/18/2007,11.1.0.2016	QuickCam for Dell Notebooks Mic
USB\Vid_046d&Pid_09C0&MI_01	Logitech\Allx86\PRO3\	lvPRO3s.inf	Logitech.NT.6.0	1	02/03/2007,10.5.1.2023	QuickCam for Dell Notebooks Mic
USB\Vid_046d&Pid_09C0&MI_01	Logitech\Allx86\PRO4\	lvPRO4s.inf	Logitech	1	07/18/2007,11.1.0.2016	QuickCam for Dell Notebooks Mic
USB\Vid_046d&Pid_09C0&MI_01	Logitech\Allx86\PRO3\	lvPRO3s.inf	Logitech	1	02/03/2007,10.5.1.2023	QuickCam for Dell Notebooks Mic
USB\Vid_046d&Pid_09C0&MI_01	Logitech\Allx86\SCBY\	lvSCBYs.inf	Logitech.NT.6.0	1	02/08/2007,10.5.1.1124	QuickCam for Dell Notebooks Mic
USB\VID_046D&PID_09C0&Mi_00	Logitech\Allx86\SCBY\	lvSCBYv.inf	Logitech.NT	1	02/08/2007,10.5.1.1124	QuickCam for Dell Notebooks
USB\VID_046D&PID_09C0&Mi_00	Logitech\Allx86\SCBY\	lvSCBYv.inf	Logitech.NT.6.0	1	02/08/2007,10.5.1.1124	QuickCam for Dell Notebooks
USB\VID_046D&PID_09C0&Mi_00	Logitech\Allx86\PRO4\	lvPRO4v.inf	Logitech	1	07/18/2007,11.1.0.2016	QuickCam for Dell Notebooks
USB\VID_046D&PID_09C0&Mi_00	Logitech\Allx86\SCBY\	lvSCBYv.inf	Logitech	1	02/08/2007,10.5.1.1124	QuickCam for Dell Notebooks
USB\VID_046D&PID_09C0&Mi_00	Logitech\Allx86\PRO4\	lvPRO4v.inf	Logitech.NT.6.0	1	07/18/2007,11.1.0.2016	QuickCam for Dell Notebooks
USB\VID_046D&PID_09C0&Mi_00	Logitech\Allx86\PRO3\	lvPRO3v.inf	Logitech	1	02/03/2007,10.5.1.2023	QuickCam for Dell Notebooks
USB\VID_046D&PID_09C0&Mi_00	Logitech\Allx86\PRO4\	lvPRO4v.inf	Logitech.NT	1	07/18/2007,11.1.0.2016	QuickCam for Dell Notebooks
USB\VID_046D&PID_09C0&Mi_00	Logitech\Allx86\PRO3\	lvPRO3v.inf	Logitech.NT	1	02/03/2007,10.5.1.2023	QuickCam for Dell Notebooks
USB\VID_046D&PID_09C0&Mi_00	Logitech\Allx86\PRO3\	lvPRO3v.inf	Logitech.NT.6.0	1	02/03/2007,10.5.1.2023	QuickCam for Dell Notebooks
USB\Vid_046d&Pid_09C0&MI_02	Logitech\Allx86\PRO4\	lvPRO4s.inf	Logitech	1	07/18/2007,11.1.0.2016	QuickCam for Dell Notebooks Mic
USB\Vid_046d&Pid_09C0&MI_02	Logitech\Allx86\PRO4\	lvPRO4s.inf	Logitech.NT.6.0	1	07/18/2007,11.1.0.2016	QuickCam for Dell Notebooks Mic
USB\Vid_046d&Pid_09C0&MI_02	Logitech\Allx86\PRO3\	lvPRO3s.inf	Logitech.NT.6.0	1	02/03/2007,10.5.1.2023	QuickCam for Dell Notebooks Mic
USB\Vid_046d&Pid_09C0&MI_02	Logitech\Allx86\PRO3\	lvPRO3s.inf	Logitech	1	02/03/2007,10.5.1.2023	QuickCam for Dell Notebooks Mic
USB\Vid_046d&Pid_09C0&MI_02	Logitech\Allx86\SCBY\	lvSCBYs.inf	Logitech.NT.6.0	1	02/08/2007,10.5.1.1124	QuickCam for Dell Notebooks Mic
USB\Vid_046d&Pid_09C0&MI_02	Logitech\Allx86\SCBY\	lvSCBYs.inf	Logitech	1	02/08/2007,10.5.1.1124	QuickCam for Dell Notebooks Mic
USB\VID_064E&PID_F25D&MI_00	jMicron\WinAll\	jmcam.inf	JM.Mfg.NTamd64	1	08/27/2010,1.1.1.7	LG Webcam
USB\VID_064E&PID_E202&MI_00	Realtek\NTx86\6.2.9200.10296\	RtSuyin.inf	Realtek.NTx86.6	1	01/13/2015,6.2.9200.10296	USB 2.0 Camera
USB\VID_064E&PID_E202&MI_00	Realtek\Allx86\6.2.9200.10277\	RtSuyin.inf	Realtek.NTx86.6	1	05/16/2014,6.2.9200.10277	USB 2.0 Camera
USB\VID_064E&PID_E202&MI_00	Realtek\NTx64\6.2.9200.10296\	RtSuyin.inf	Realtek.NTamd64.6	1	01/13/2015,6.2.9200.10296	USB 2.0 Camera
USB\VID_064E&PID_F25D&MI_00	jMicron\WinAll\	jmcam.inf	JM.Mfg.NTx86.5.1	1	08/27/2010,1.1.1.7	LG Webcam
USB\VID_064E&PID_E202&MI_00	Realtek\Allx64\6.2.9200.10277\	RtSuyin.inf	Realtek.NTamd64.6	1	05/16/2014,6.2.9200.10277	USB 2.0 Camera
USB\VID_04f2&PID_b028	Chicony\Sonix\WinAll\061.005.028.260_CNF6131\	snp2uvc.inf	SN.NTamd64	1	10/19/2007,061.005.028.260	USB 2.0 VGA UVC WebCam
USB\VID_04f2&PID_b028	Chicony\Sonix\WinAll\061.005.200.450_CNF7129\	snp2uvc.inf	SN.NTamd64	1	10/06/2010,061.005.200.450	USB 2.0 VGA UVC WebCam
USB\VID_04f2&PID_b028	Chicony\Sonix\WinAll\061.005.200.450_CNF7129\	snp2uvc.inf	SN.NTx86.5.1	1	10/06/2010,061.005.200.450	USB 2.0 VGA UVC WebCam
USB\VID_04f2&PID_b028	Chicony\Sonix\WinAll\061.005.200.450_CNF7129\-old\	snp2uvc.inf	SN.NTamd64	1	01/25/2010,061.005.200.300	USB 2.0 VGA UVC WebCam
USB\VID_04f2&PID_b028	Chicony\Sonix\WinAll\061.005.028.260_CNF6131\	snp2uvc.inf	SN.NTamd64.6.0	1	10/19/2007,061.005.028.260	USB 2.0 VGA UVC WebCam
