Version5;
Monitor\VSC3F08	ViewSonic\Allx64\	VS120924_l17.inf	ViewSonic.NTia64	0	09/24/2012,1.5.2.55	ViewSonic VG750
Monitor\VSC3F08	ViewSonic\Allx86\	VS120924_l17.inf	ViewSonic.NTamd64	0	09/24/2012,1.5.2.55	ViewSonic VG750
Monitor\MED471D	Medion\WinAll\	MD6155AK.INF	Medion	0	08/25/2003	Medion MD6155AK
Monitor\MED471A	Medion\WinAll\	MD6155AH.inf	Medion	1	08/13/2003	Medion MD6155AH
Monitor\API4421	Acer\WinAll\	ACER2000.INF	Acer	0	Unknown	Acer 33D
Monitor\VSC591E	ViewSonic\7x64\VX2235wm\	VX2235wm.inf	ViewSonic	1	11/01/2006,1.5.0.0	ViewSonic VX2235wm
Monitor\VSC591E	ViewSonic\6x64\VX2235wm\	VX2235wm.inf	ViewSonic.NTamd64	1	11/01/2006,1.5.0.0	ViewSonic VX2235wm
Monitor\VSC591E	ViewSonic\Allx86\	VS130114_l20.inf	ViewSonic.NTamd64	0	01/14/2013,1.5.2.81	ViewSonic VX2235wm
Monitor\VSC591E	ViewSonic\6x64\VX2235wm\	VX2235wm.inf	ViewSonic	1	11/01/2006,1.5.0.0	ViewSonic VX2235wm
Monitor\VSC591E	ViewSonic\7x86\VX2235wm\	VX2235wm.inf	ViewSonic	1	11/01/2006,1.5.0.0	ViewSonic VX2235wm
Monitor\VSC591E	ViewSonic\6x86\VX2235wm\	VX2235wm.inf	ViewSonic	1	11/01/2006,1.5.0.0	ViewSonic VX2235wm
Monitor\VSC591E	ViewSonic\Allx86\	VS130114_l20.inf	ViewSonic	0	01/14/2013,1.5.2.81	ViewSonic VX2235wm
Monitor\VSC591E	ViewSonic\Allx64\	VS130114_l20.inf	ViewSonic.NTamd64	0	01/14/2013,1.5.2.81	ViewSonic VX2235wm
Monitor\VSC591E	ViewSonic\Allx86\	VS130114_l20.inf	ViewSonic.NTia64	0	01/14/2013,1.5.2.81	ViewSonic VX2235wm
Monitor\VSC591E	ViewSonic\Allx64\	VS130114_l20.inf	ViewSonic.NTia64	0	01/14/2013,1.5.2.81	ViewSonic VX2235wm
Monitor\VSC591E	ViewSonic\6x64\VX2235wm\	VX2235wm.inf	ViewSonic.NTia64	1	11/01/2006,1.5.0.0	ViewSonic VX2235wm
Monitor\VSC591E	ViewSonic\7x64\VX2235wm\	VX2235wm.inf	ViewSonic.NTamd64	1	11/01/2006,1.5.0.0	ViewSonic VX2235wm
Monitor\VSC591E	ViewSonic\7x86\VX2235wm\	VX2235wm.inf	ViewSonic.NTia64	1	11/01/2006,1.5.0.0	ViewSonic VX2235wm
Monitor\VSC591E	ViewSonic\5x86\VX2235wm\	VX2235wm.inf	ViewSonic.NTia64	1	07/17/2006,1.5.0.0	ViewSonic VX2235wm
Monitor\VSC591E	ViewSonic\6x86\VX2235wm\	VX2235wm.inf	ViewSonic.NTamd64	1	11/01/2006,1.5.0.0	ViewSonic VX2235wm
Monitor\VSC591E	ViewSonic\Allx64\	VS130114_l20.inf	ViewSonic	0	01/14/2013,1.5.2.81	ViewSonic VX2235wm
Monitor\VSC591E	ViewSonic\5x86\VX2235wm\	VX2235wm.inf	ViewSonic.NTamd64	1	07/17/2006,1.5.0.0	ViewSonic VX2235wm
Monitor\VSC591E	ViewSonic\6x86\VX2235wm\	VX2235wm.inf	ViewSonic.NTia64	1	11/01/2006,1.5.0.0	ViewSonic VX2235wm
Monitor\VSC591E	ViewSonic\7x86\VX2235wm\	VX2235wm.inf	ViewSonic.NTamd64	1	11/01/2006,1.5.0.0	ViewSonic VX2235wm
Monitor\VSC591E	ViewSonic\5x86\VX2235wm\	VX2235wm.inf	ViewSonic	1	07/17/2006,1.5.0.0	ViewSonic VX2235wm
Monitor\VSC591E	ViewSonic\7x64\VX2235wm\	VX2235wm.inf	ViewSonic.NTia64	1	11/01/2006,1.5.0.0	ViewSonic VX2235wm
Monitor\VSC2107	ViewSonic\Allx64\	VS130114_l19.inf	ViewSonic.NTamd64	0	01/14/2013,1.5.2.73	ViewSonic VG191b
Monitor\VSC2107	ViewSonic\Allx86\	VS130114_l19.inf	ViewSonic.NTia64	0	01/14/2013,1.5.2.73	ViewSonic VG191b
Monitor\VSC2107	ViewSonic\Allx86\	VS130114_l19.inf	ViewSonic	0	01/14/2013,1.5.2.73	ViewSonic VG191b
Monitor\VSC2107	ViewSonic\Allx64\	VS130114_l19.inf	ViewSonic	0	01/14/2013,1.5.2.73	ViewSonic VG191b
Monitor\VSC2107	ViewSonic\Allx86\	VS130114_l19.inf	ViewSonic.NTamd64	0	01/14/2013,1.5.2.73	ViewSonic VG191b
Monitor\VSC2107	ViewSonic\5x86\VG191b\	VG191b.inf	ViewSonic	1	01/15/2002,1.5.0.0	ViewSonic VG191b
Monitor\VSC2107	ViewSonic\Allx64\	VS130114_l19.inf	ViewSonic.NTia64	0	01/14/2013,1.5.2.73	ViewSonic VG191b
Monitor\VSC5920	ViewSonic\6x64\VA1926w-3_Series\	VA1926w-3_SERIES.inf	ViewSonic	1	05/22/2007,1.5.1.0	ViewSonic VA1926w-3 SERIES
Monitor\VSC5920	ViewSonic\7x86\VA1926w_Series\	VA1926w.inf	ViewSonic	0	05/29/2009,1.5.0.0	ViewSonic VA1926w
Monitor\VSC5920	ViewSonic\7x86\VA1926w_Series\	VA1926w.inf	ViewSonic.NTia64	0	05/29/2009,1.5.0.0	ViewSonic VA1926w
Monitor\VSC5920	ViewSonic\7x64\VA1926w_Series\	VA1926w.inf	ViewSonic.NTamd64	0	05/29/2009,1.5.0.0	ViewSonic VA1926w
Monitor\VSC5920	ViewSonic\6x86\VA1926w-3_Series\	VA1926w-3_SERIES.inf	ViewSonic.NTamd64	1	05/22/2007,1.5.1.0	ViewSonic VA1926w-3 SERIES
Monitor\VSC5920	ViewSonic\7x64\VA1926w_Series\	VA1926w.inf	ViewSonic.NTia64	0	05/29/2009,1.5.0.0	ViewSonic VA1926w
Monitor\VSC5920	ViewSonic\5x86\VA1926w-3_Series\	VA1926w-3_SERIES.inf	ViewSonic	1	05/22/2007,1.5.1.0	ViewSonic VA1926w-3 SERIES
Monitor\VSC5920	ViewSonic\7x64\VA1926w_Series\	VA1926w.inf	ViewSonic	0	05/29/2009,1.5.0.0	ViewSonic VA1926w
Monitor\VSC5920	ViewSonic\6x64\VA1926w-3_Series\	VA1926w-3_SERIES.inf	ViewSonic.NTamd64	1	05/22/2007,1.5.1.0	ViewSonic VA1926w-3 SERIES
Monitor\VSC5920	ViewSonic\5x64\VA1926w-3_Series\	VA1926w-3_SERIES.inf	ViewSonic	1	05/22/2007,1.5.1.0	ViewSonic VA1926w-3 SERIES
Monitor\VSC5920	ViewSonic\6x86\VA1926w-3_Series\	VA1926w-3_SERIES.inf	ViewSonic.NTia64	1	05/22/2007,1.5.1.0	ViewSonic VA1926w-3 SERIES
Monitor\VSC5920	ViewSonic\Allx86\	VS130114_l19.inf	ViewSonic.NTamd64	0	01/14/2013,1.5.2.73	ViewSonic VA1926w Series
Monitor\VSC5920	ViewSonic\5x86\VA1926w-3_Series\	VA1926w-3_SERIES.inf	ViewSonic.NTia64	1	05/22/2007,1.5.1.0	ViewSonic VA1926w-3 SERIES
