Version5;
Monitor\VSCA519	ViewSonic\WinAll\	VS130530_pl_prj.inf	ViewSonic	0	05/30/2013,1.5.2.74	ViewSonic PJ1165
Monitor\VSCA519	ViewSonic\WinAll\	VS130114_pl_prj.inf	ViewSonic.NTamd64	0	01/14/2013,1.5.2.72	ViewSonic PJ1165
Monitor\SAM0252	Samsung\WinAll\	SM741MP.inf	Samsung.NTAMD64	1	05/17/2006,2.0	SyncMaster 741MP
Monitor\VSCA519	ViewSonic\WinAll\	VS130114_pl_prj.inf	ViewSonic	0	01/14/2013,1.5.2.72	ViewSonic PJ1165
Monitor\VSCA519	ViewSonic\WinAll\	VS130319_pl_prj.inf	ViewSonic.NTamd64	0	03/19/2013,1.5.2.73	ViewSonic PJ1165
Monitor\VSCA519	ViewSonic\WinAll\	VS130319_pl_prj.inf	ViewSonic.NTia64	0	03/19/2013,1.5.2.73	ViewSonic PJ1165
Monitor\VSCA519	ViewSonic\WinAll\	VS130530_pl_prj.inf	ViewSonic.NTia64	0	05/30/2013,1.5.2.74	ViewSonic PJ1165
Monitor\SAM0252	Samsung\WinAll\	SM741MP.inf	Samsung.NTx86	1	05/17/2006,2.0	SyncMaster 741MP
Monitor\SAM0253	Samsung\WinAll\	SM941MP.inf	Samsung	1	05/17/2006,2.0	SyncMaster 941MP
Monitor\SAM0253	Samsung\WinAll\	SM941MP.inf	Samsung.NTx86	1	05/17/2006,2.0	SyncMaster 941MP
Monitor\SAM0253	Samsung\WinAll\	SM941MP.inf	Samsung.NTAMD64	1	05/17/2006,2.0	SyncMaster 941MP
Monitor\SAM0254	Samsung\WinAll\	SM225BW.inf	Samsung.NTx86	1	01/26/2007,3.0	SyncMaster 225BW, SyncMaster CX223BW(Analog)
Monitor\SAM0254	Samsung\WinAll\	SM225BW.inf	Samsung.NTAMD64	1	01/26/2007,3.0	SyncMaster 225BW, SyncMaster CX223BW(Analog)
Monitor\SAM0254	Samsung\WinAll\	SM225BW.inf	Samsung	1	01/26/2007,3.0	SyncMaster 225BW, SyncMaster CX223BW(Analog)
Monitor\SAM0255	Samsung\WinAll\	SM225BW.inf	Samsung.NTAMD64	1	01/26/2007,3.0	SyncMaster 225BW, SyncMaster CX223BW(Digital)
Monitor\SAM0255	Samsung\WinAll\	SM225BW.inf	Samsung.NTx86	1	01/26/2007,3.0	SyncMaster 225BW, SyncMaster CX223BW(Digital)
Monitor\SAM0255	Samsung\WinAll\	SM225BW.inf	Samsung	1	01/26/2007,3.0	SyncMaster 225BW, SyncMaster CX223BW(Digital)
Monitor\MAX3539	Belinea\WinAll\	Belinea_362.inf	Belinea.NTx86	0	06/02/2008,3.6.2.0	Belinea 10 50 95
Monitor\MAX3539	Belinea\WinAll\	Belinea_362.inf	Belinea	0	06/02/2008,3.6.2.0	Belinea 10 50 95
Monitor\MAX3539	Belinea\WinAll\	Belinea_362.inf	Belinea.NTia64	0	06/02/2008,3.6.2.0	Belinea 10 50 95
Monitor\MAX3539	Belinea\WinAll\	Belinea_362.inf	Belinea.NTamd64	0	06/02/2008,3.6.2.0	Belinea 10 50 95
Monitor\MAX3539	Belinea\WinAll\	Belinea_360.inf	Belinea	0	10/10/2007,3.6.0.0	Belinea 10 50 95
Monitor\BNQ9805	BenQ\WinAll\	G781.inf	Benq	1	12/24/2001	BENQ G781
Monitor\SAM0263	Samsung\WinAll\	CX716XT.inf	Samsung.NTAMD64	1	07/06/2006,2.0	SyncMaster 720XT, SyncMaster Magic CX716XT
Monitor\SAM0263	Samsung\WinAll\	CX716XT.inf	Samsung.NTx86	1	07/06/2006,2.0	SyncMaster 720XT, SyncMaster Magic CX716XT
Monitor\SAM0263	Samsung\WinAll\	CX716XT.inf	Samsung	1	07/06/2006,2.0	SyncMaster 720XT, SyncMaster Magic CX716XT
Monitor\SAM0265	Samsung\WinAll\	SM225MD.inf	Samsung	1	03/08/2007,3.0	SyncMaster 225MD/225MS/2280HD(Digital)
Monitor\SAM0265	Samsung\WinAll\	SM225MD.inf	Samsung.NTAMD64	1	03/08/2007,3.0	SyncMaster 225MD/225MS/2280HD(Digital)
Monitor\SAM0265	Samsung\WinAll\	SM225MD.inf	Samsung.NTx86	1	03/08/2007,3.0	SyncMaster 225MD/225MS/2280HD(Digital)
Monitor\SAM0264	Samsung\WinAll\	SM225MD.inf	Samsung.NTx86	1	03/08/2007,3.0	SyncMaster 225MD/225MS/2280HD(Analog)
