Version5;
USB\VID_138A&PID_0011	VS\WinAll\WBF_0017_DRV\	wbf_vfs_cmn_0017.inf	Validity.NTamd64	1	07/21/2014,4.5.266.0	Variable: VfsUsbDeviceName0011
USB\VID_138A&PID_0011	VS\WinAll\ALL\	vfs_0011.inf	Validity.NTamd64	1	06/13/2012,2.2.0.0	Variable: USB\vfsSensor.DeviceDesc
USB\VID_138A&PID_0011	VS\FORCED\NTx86\WBF_0017_DRV\	wbf_vfs_cmn.inf	Validity.NTx86	1	01/17/2014,4.5.247.00	Variable: VfsUsbDeviceName0011
USB\VID_138A&PID_0011	VS\FORCED\NTx86\WBF_0017_DRV\	wbf_vfs_cmn.inf	Validity.NTamd64	1	01/17/2014,4.5.247.00	Variable: VfsUsbDeviceName0011
USB\VID_138A&PID_0011	VS\WinAll\WBF_0017_DRV\	wbf_vfs_cmn_0017.inf	Validity.NTx86.6.3	1	07/21/2014,4.5.266.0	Variable: VfsUsbDeviceName0011
USB\VID_138A&PID_0011	VS\WinAll\ALL\	vfs_0011.inf	Validity.NTx86	1	06/13/2012,2.2.0.0	Variable: USB\vfsSensor.DeviceDesc
USB\VID_138A&PID_0011	VS\FORCED\NTx64\WBF_0017_DRV\	wbf_vfs_cmn.inf	Validity.NTx86	1	01/17/2014,4.5.247.00	Variable: VfsUsbDeviceName0011
USB\VID_138A&PID_0011	VS\WinAll\WBF_0017_DRV\	wbf_vfs_cmn_0017.inf	Validity.NTamd64.6.3	1	07/21/2014,4.5.266.0	Variable: VfsUsbDeviceName0011
USB\VID_138A&PID_0017	VS\FORCED\NTx64\WBF_0017_DRV\	wbf_vfs_cmn.inf	Validity.NTamd64	1	01/17/2014,4.5.247.00	Variable: VfsUsbDeviceName0017
USB\VID_138A&PID_0017	VS\WinAll\WBF_0017_DRV\	wbf_vfs_cmn_0017.inf	Validity.NTx86	1	07/21/2014,4.5.266.0	Variable: VfsUsbDeviceName0017
USB\VID_138A&PID_0017	VS\FORCED\NTx64\WBF_0017_DRV\	wbf_vfs_cmn.inf	Validity.NTx86	1	01/17/2014,4.5.247.00	Variable: VfsUsbDeviceName0017
USB\VID_138A&PID_0017	VS\WinAll\WBF_0017_DRV\	wbf_vfs_cmn_0017.inf	Validity.NTamd64	1	07/21/2014,4.5.266.0	Variable: VfsUsbDeviceName0017
USB\VID_138A&PID_0017	VS\FORCED\NTx86\WBF_0017_DRV\	wbf_vfs_cmn.inf	Validity.NTx86	1	01/17/2014,4.5.247.00	Variable: VfsUsbDeviceName0017
USB\VID_138A&PID_0017	VS\WinAll\WBF_0017_DRV\	wbf_vfs_cmn_0017.inf	Validity.NTx86.6.3	1	07/21/2014,4.5.266.0	Variable: VfsUsbDeviceName0017
USB\VID_138A&PID_0017	VS\WinAll\WBF_0017_DRV\	wbf_vfs_cmn_0017.inf	Validity.NTamd64.6.3	1	07/21/2014,4.5.266.0	Variable: VfsUsbDeviceName0017
USB\VID_138A&PID_0017	VS\FORCED\NTx86\WBF_0017_DRV\	wbf_vfs_cmn.inf	Validity.NTamd64	1	01/17/2014,4.5.247.00	Variable: VfsUsbDeviceName0017
USB\VID_138A&PID_0015	VS\FORCED\NTx64\WBF_0017_DRV\	wbf_vfs_cmn.inf	Validity.NTx86	1	01/17/2014,4.5.247.00	Variable: VfsUsbDeviceName0015
